Title,Price,Location,Date Posted,Description,URL,eBay Search Query
Triangle Plaisir Zeta,$0,N Syracuse,2025-03-08T10:12:47-0500,"QR Code Link to This Post


Excellent cond., Triangle Plaisir Zeta which is essentially the same speaker as the gloss painted Color series.  Hard to find in the US and was a 5 star performer from reviews.  Treated paper woofer and Titanium tweeter.  Presents a very euphonic sound with good clarity for movies but also very musical for any type of music.  Most versatile speaker I ever had.  Likes all genres, plays with any amp whether class AB or D, inexpensive or hi end but scales up wit better equipment a bit.  For a budget speaker, this has beat out other speakers in enjoyment even up to nearly 2 grand.   Definitely a foot tapping experience with these and only selling because I need to downsize and have much higher end gear.

A great first speaker that won't easily be replaced.   I am the original owner and purchased brand new in Dec 2019.  I liked these over the Borea 2 and these image better with better spatial articulation than the Titus EZ.  The woofer is treated and will last many years over untreated paper comes IMO.  Comes with original box and packing material.  

Asking $185  -  Original retail was approx $450 when first introduced

https://www.whathifi.com/triangle/color/review

https://www.techradar.com/reviews/audio-visual/hi-fi-and-audio/hi-fi-and-av-speakers/triangle-color-974888/review

https://audiofi.net/2012/06/paint-it-white-triangle-color/",https://syracuse.craigslist.org/ele/d/syracuse-triangle-plaisir-zeta/7832847200.html,"""triangle plaisir zeta QR Link"" -parts -repair"
Bose UTS-20W Universal Table Stands,$20,syracuse,2025-02-17T09:02:50-0500,"QR Code Link to This Post


Selling brand new  Bose UTS-20W Universal Table Stands.



This cast aluminium stand allows your speaker to be elegantly placed anywhere there’s a flat surface. A groove in the tubing conceals the speaker wire while providing quick and easy access. Height: 17.8 cm (7"").

Compatible products:
Bose Surround Speakers
All Bose two-speaker and five-speaker home entertainment systems (excluding the Lifestyle 650 system)

https://www.bose.ca/en_ca/products/speakers/speaker_accessories/uts-20-series-ii-universal-table-stands.html#v=uts20_acc_white

$20 for pair",https://syracuse.craigslist.org/ele/d/syracuse-bose-uts-20w-universal-table/7827389226.html,"""bose uts-20w universal table stands QR"" -parts -repair"
3 in 1 music player,$90,Syracuse,2025-03-07T18:31:01-0500,"QR Code Link to This Post


This is a 3 in 1 
It's  a CD player,radio,and Bluetooth speaker 

It comes with a wall mount, a stand and a remote",https://syracuse.craigslist.org/msg/d/syracuse-in-music-player/7832734849.html,"""3 in 1 music player"" -parts -repair"
JBL - 4648,$400,Syr,2025-01-31T11:04:53-0500,"QR Code Link to This Post


If you want a great speaker system these JBL speakers do it all. You can use them as sub woofers or low to upper mids. Instruments and vocals sound great. Use a crossover and these speakers perform great down to 20-25HZ. 1200 watts!
I hooked one of these up to a 20 seat 800 watt theater system(Jurassic Park)and it shook the house. Dinosaur steps were so impressive.
You can use these as a PA, sub-woofer, home theater. 
I’m letting them go for $400 each.",https://syracuse.craigslist.org/msg/d/syracuse-jbl/7822844157.html,"""jbl - 4648"" -parts -repair"
Frsky taranis x9d plus with upgrades,$0,Camillus,2025-02-01T15:09:15-0500,"QR Code Link to This Post


Frsky Taranis x9d plus with Hall Effect Gimbals, Antenna mod, 2.4 FRsky DJT module and upgraded speaker. Brand new extra shell, OEM carry case, unused neck strap, charger and stand.  Low use, Excellent condition.  $140",https://syracuse.craigslist.org/ele/d/camillus-frsky-taranis-x9d-plus-with/7823212179.html,"""frsky taranis x9d plus with upgrades QR"" -parts -repair"
Cerwin Vega CLS-12S Powered Subwoofer Cabinet Speaker Needs Work,$75,Collamer,2025-01-21T17:53:25-0500,"QR Code Link to This Post


Home Stereo Theater Speaker Cerwin Vega CLS-12S Powered Subwoofer Needs Work.  I believe the amp has failed.  This is a replacement amp and worked fine for years as the original one failed.  Tried a new speaker and same humming noise and no sound.  I'm done with this unit.  Cabinet in great shape.",https://syracuse.craigslist.org/ele/d/east-syracuse-cerwin-vega-cls-12s/7820229258.html,"""cerwin vega cls-12s powered subwoofer cabinet speaker needs work"" -parts -repair"
Desktop speaker bar,$10,Fulton/. GRANBY,2025-02-03T12:53:47-0500,"QR Code Link to This Post


U S B SPEAKER FOR DESKTOPS.NEW NEVER USED",https://syracuse.craigslist.org/sop/d/fulton-desktop-speaker-bar/7823672374.html,"""desktop speaker bar"" -parts -repair"
18 ford f250 front door speaker,$70,Hannibal,2025-03-06T21:53:57-0500,"QR Code Link to This Post


2018 ford f250 factory front passenger door speaker. Wasn’t used long works fine",https://syracuse.craigslist.org/pts/d/hannibal-18-ford-f250-front-door-speaker/7832484262.html,"""18 ford f250 front door speaker"" -parts -repair"
POWERED SPEAKERS,$600,CLAY,2025-03-02T11:06:19-0500,"QR Code Link to This Post


Turbosound IQ8 Powered Loudspeaker Features:
•	DSP-controlled loudspeaker for many different sound reinforcement applications
•	Control of your EQ, speaker modeling, and more with Klark Teknik DSP
•	SCC quickly dials in your IQ8 for its changing applications
•	Cat 5 audio transfer with other Ultranet enabled products
•	8"" woofer and 1"" compression driver offer a clear sound
•	2,500 watt Class D power amplifier
•	Dual-angle pole mount
•	Visual control over parameters with the LCD screen
•	PC remote control software available for download

Incudes power cables and covers for speakers
These Speakers are in GREAT Cosmetic and Working Condition


PICK UP ONLY!!",https://syracuse.craigslist.org/for/d/clay-powered-speakers/7831119246.html,"""powered speakers Code"" -parts -repair"
POWERED SPEAKERS,$600,CLAY,2025-03-02T11:08:14-0500,"QR Code Link to This Post


Turbosound IQ8 Powered Loudspeaker Features:
•	DSP-controlled loudspeaker for many different sound reinforcement applications
•	Control of your EQ, speaker modeling, and more with Klark Teknik DSP
•	SCC quickly dials in your IQ8 for its changing applications
•	Cat 5 audio transfer with other Ultranet enabled products
•	8"" woofer and 1"" compression driver offer a clear sound
•	2,500 watt Class D power amplifier
•	Dual-angle pole mount
•	Visual control over parameters with the LCD screen
•	PC remote control software available for download
Incudes power cables and covers for speakers
These Speakers are in GREAT Cosmetic and Working Condition

PICK UP ONLY!!",https://syracuse.craigslist.org/msg/d/clay-powered-speakers/7831119773.html,"""powered speakers Code"" -parts -repair"
POWERED SPEAKER,$150,CLAY,2025-03-02T14:41:13-0500,"QR Code Link to This Post


Behringer DR112DSP 
•	1,200-watt 2-way Powered PA Speaker with 2-channel Mixer
•	35mm Pole Socket
•	Onboard DSP
•	Bluetooth
•	12""

Includes Power Cable

PICKUP ONLY!!",https://syracuse.craigslist.org/for/d/clay-powered-speaker/7831184791.html,"""powered speaker"" -parts -repair"
POWERED SPEAKER,$150,CLAY,2025-03-02T14:43:00-0500,"QR Code Link to This Post


Behringer DR112DSP 
•	1,200-watt 2-way Powered PA Speaker with 2-channel Mixer
•	35mm Pole Socket
•	Onboard DSP
•	Bluetooth
•	12""

Includes Power Cable

PICKUP ONLY!!",https://syracuse.craigslist.org/msg/d/clay-powered-speaker/7831185380.html,"""powered speaker"" -parts -repair"
JBL Studio Monitors Speakers 4312B,$600,Liverpool,2025-02-10T12:57:20-0500,"QR Code Link to This Post


Sound fantastic. One woofer has been repaired but you wouldnt know it.
 Its a professional repair that has been lasting for over 15 years now.
 I bought these 15 years ago and have been using them without issue.
 Real sound from real studio monitors
 I believe these to sell for over 7-800 dollers, not sure. ====
  No need to replace the woofer it sounds great. 
 600 for the pair..cheap !
  The wood has a few scuffs, whatever, not bad at all.
 And one midrange speaker was replaced with the proper mid speaker but its not painted black, it is brushed aluminum. 
 It is the same identical speck speaker though and official JBL
 4312B is the model number of these speakers made in the USA",https://syracuse.craigslist.org/ele/d/liverpool-jbl-studio-monitors-speakers/7825571248.html,"""jbl monitors speakers 4312b Code"" -parts -repair"
Vintage 1963 Gibson GA-8T Tube Guitar Amplifier,$495,Baldwinsville,2025-02-27T17:31:13-0500,"QR Code Link to This Post


Vintage 1963 Gibson Discoverer GA-8T Tube Guitar Amplifier
Super Clean Sound, starts to overdrive just past half-volume setting.
1 12"" speaker (not original)
Tremolo, with foot switch
An ill-fitting, but functional cover is included.
The unit has 5 tubes:
V1 & V2 - 6EU7 (12AX7) Preamps & Tremolo
V3 & V4 - 6BQ5 (EL84) Output Tubes
V5 - 6CA4 (EZ81) Rectifier

Asking $495",https://syracuse.craigslist.org/msg/d/baldwinsville-vintage-1963-gibson-ga-8t/7830399140.html,"""1963 gibson ga-8t tube guitar amplifier"" -parts -repair"
Crate VC3112 Vintage Club Tube Guitar Amp,$350,Baldwinsville,2025-02-25T17:39:39-0500,"QR Code Link to This Post


Crate Vintage Club Tube Guitar Amplifier
30 Watts RMS
1 12"" Speaker
Spring Reverb
Channel Select Foot Switch Included
A switch was added for Clean or Crunch on the second channel
Great Amp, but at 48 pounds it is too heavy for me to lug around.
$350",https://syracuse.craigslist.org/msg/d/baldwinsville-crate-vc3112-vintage-club/7829818559.html,"""crate vc3112 club tube guitar amp"" -parts -repair"
Bose Acoustimass 9 Speaker System,$150,Lyons,2025-02-17T16:01:16-0500,"QR Code Link to This Post


Previously enjoyed Bose Acoustimass 9 speaker system rocks! Cosmetic signs of age but all works LOUD and CLEAR! Receiver has AM/FM, Aux, TV, and CD. CD only plays original disks, not reproduced media. 

Asking $150

This post will be removed when it's no longer available, please send serious inquiries only. Will not respond to those asking if it's still available. If you're a scammer, please don't inquire.

Note: This item is in Lyons, NY. If you are interested please send me your number, I'll reach out via phone or text, and we can coordinate a date/time to meet.",https://syracuse.craigslist.org/ele/d/lyons-bose-acoustimass-speaker-system/7827532996.html,"""bose acoustimass 9 speaker system"" -parts -repair"
Fender Stage 112 SE Amp,$275,Brewerton,2025-02-03T08:03:30-0500,"QR Code Link to This Post


Super load amp and can easily be used with a full band. Was only used out maybe twice from the time I had it and  I bought it brand new.

12"" Celestion Speaker
Power: 160W
2 Channels- normal & high gain
Controls- Volume, treble, middle, bass for each channel
Fender Foot swich
Spring Reverb
Effects loop
Line out",https://syracuse.craigslist.org/msg/d/brewerton-fender-stage-112-se-amp/7823586365.html,"""fender stage 112 se amp QR"" -parts -repair"
Adcom Based System,$600,Parish,2025-03-01T09:18:19-0500,"QR Code Link to This Post


Adcom Based System $600.00 

For sale are all the main components needed to make a complete stereo system. The $600.00 price covers the Adcom Pre-Amp, Adcom Amp, Paradigm Speakers and the Adcom CD player. The RCA cable connection between the amp and pre-amp and the speaker cables are included. I will also include an extra 1 meter RCA cable that can be used to hook up the CD player, etc.. I just acquired a fantastic sounding Adcom GCD575 CD Player. I will include the GCD575 as part of the system in the asking price.

Please note that the individual component average selling prices, shown below, are only shown so that you know their worth and the worth of the system. The mix was put together because there was a good match in overall sound and balance.

Component - Manufacturer – Average selling price without shipping and sales tax

Pre Amplifier – Adcom GTP 400 - $200.00 ($25 - $35 Shipping + sales tax)
Amplifier – Adcom GFA 535 II 60 W/8 ohm - $250.00 ($50 - $60 Shipping + sales tax)
Speakers - (Pair) Paradigm 3SE- $170.00 ($60 - $75 Shipping + sales tax)
CD Player – Adcom GCD 575 - $189.00 ($25 - $35 Shipping + sales tax)
Turntable – Technics SL-D93 w/ Pickering TL-2S - $150.00 ($50 - $60 Shipping + sales tax)
RCA Cable - Monster ½ meter 550i - $45.00
RCA Cable - Monster 1 meter 550i - $45.00
Speaker Wire - (Pair) Monster MCX-1s Length 8’ - $72.00

The total value of this system is $782.00. That value does not include shipping or sales tax, or the value of the GCD 575 CD Player.

The GTP 400 has a phono input. So if you want to use a turntable you would not need a separate phono preamp. Since there is a built-in phono preamp I have an added offer. I have a Technics SL-D93 with Pickering TL-2S cartridge. This combo is worth at least $150.00. If interested you could include it for an additional $100.00. The turntable and cartridge are in great working condition, the dust cover is not broken, but has some scratches that can be buffed out. This offer would give you a complete turnkey system to listen to vinyl.

Although this system is close to vintage, it sounds better than today's average integrated amp and will rival some of the high end separates that cost far more. If interested, bring some of your favorite music for an audition. This system sounds amazing; it would be well worth your time for a listen. Documentation and specs included. Pickup Only, no shipping.",https://syracuse.craigslist.org/ele/d/parish-adcom-based-system/7830822854.html,"""adcom based system"" -parts -repair"
For SALE- Must Sell Everything!!,$0,Binghamton,2025-02-28T15:27:22-0500,"QR Code Link to This Post


Must sell!! Moving!!
COME ONE COME ALL --
ITEMS YOU MIGHT WANT OR NEED

CASH ONLY!!
YOU COME AND PICK UP
SOME PRICES CAN BE NEGOTIATED

Household Items--Couch -many other items
Check it out and get back to see what is available

CASH ONLY!
You come and pick up

We have a STAR WARS ARCADE -- Great Condition and Working $450

Air Beds-2 -Queen Size -$20 each
or both for $35

Kerosene Lantern-$20

Pack and Pay Pen
with carrier $30

Collector dolls $10 each

290 Legos plus Box -$125

Speaker $25

End tables-$150

Couch with Chase Lounge $650 or Good Offer

Craftsman Riding Mower-$700--
**(Maybe needs front tires, Rebuilt last year, New Blades, New belts, New Battery,
New oil Filter, New fuel filter, new key) **

OTHER ITEMS FOR SALE ON FACEBOOK Marketplace

any questions, contact Jeana",https://syracuse.craigslist.org/for/d/binghamton-for-sale-must-sell-everything/7830656717.html,"""for sale- must sell everything!! Link"" -parts -repair"
For SALE- Must Sell Everything!!,$0,Binghamton,2025-02-28T15:16:45-0500,"QR Code Link to This Post


Must sell!! Moving!!
COME ONE COME ALL --
ITEMS YOU MIGHT WANT OR NEED

CASH ONLY!!
YOU COME AND PICK UP
SOME PRICES CAN BE NEGOTIATED

Household Items--Couch -many other items
Check it out and get back to see what is available

CASH ONLY!
You come and pick up

We have a STAR WARS ARCADE -- Great Condition and Working $450

Air Beds-2 -Queen Size -$20 each
or both for $35

Kerosene Lantern-$20

Pack and Pay Pen
with carrier $30

Collector dolls $10 each

290 Legos plus Box -$125

Speaker $25

End tables-$150

Couch with Chase Lounge $650 or Good Offer

Craftsman Riding Mower-$700--
**(Maybe needs front tires, Rebuilt last year, New Blades, New belts, New Battery,
New oil Filter, New fuel filter, new key) **

OTHER ITEMS FOR SALE ON FACEBOOK Marketplace

any questions, contact Jeana

post id:  show contact info


posted: 18 days ago

updated: about 3 hours ago",https://syracuse.craigslist.org/for/d/binghamton-for-sale-must-sell-everything/7830653002.html,"""for sale- must sell everything!! Link"" -parts -repair"
"Peavey "" BANDIT 112 "" Amp",$300,Auburn,2025-02-05T13:49:36-0500,"QR Code Link to This Post


Recently professional serviced. Performs and working as it should. Great amp. Sheffield speaker, loop for pedals.  Transtube technology.",https://syracuse.craigslist.org/msg/d/auburn-peavey-bandit-112-amp/7824253356.html,"""peavey "" bandit 112 "" amp"" -parts -repair"
SUPER LOUD HORN AND VOICE AMPLIFIER,$75,AUBURN,2025-02-09T19:21:17-0500,"QR Code Link to This Post


SUPER LOUD HORN AND VOICE AMPLIFIER. ""TRAFFIC BULL"" 100 WATT ELECTRONIC AIR HORN WITH P.A. VOICE ( MIC) AMPLIFIER. COMPARE IT TO THE COMPETITORS ELECTRONIC AIR HORNS THAT SELL ANYWHERE FROM $150 TO $200. YOU ARE PAYING ONLY A FRACTION OF THE COST AND GETTING THE SAME EXCELLENT QUALITY PRODUCT. NOTE: THESE ARE 100% LEGAL TO USE IN YOUR VEHICLE, UNLIKE THOSE UNITS THAT HAVE SIRENS WHICH WILL GET YOU INTO TROUBLE WITH THE LAW AND ARE VERY MUCH ILLEGAL TO USE IN YOUR VEHICLE, UNLESS YOU ARE EITHER A POLICE OR FIRE DEPT. WORKS GREAT WITH ANY 100 WATT SIREN SPEAKER, WHICH YOU WILL NEED TO HAVE ALREADY. IF YOU NEED A SPEAKER FOR THIS, I DO SELL THEM FOR AN ADDITIONAL $45. INCLUDED IS THE MICROPHONE, MIC CLIP, WIRING HARNESS, MOUNTING BRACKET AND ALL HARDWARE. VERY SIMPLE 4 WIRE HOOKUP. RED WIRE TO 12V POSITIVE, BLACK WIRE TO 12V NEGATIVE, AND 2 GREEN WIRES TO SPEAKER. PLUG IN THE MIC, JUST TURN THE UNIT ""ON"" WITH THE ON/OFF VOLUME CONTROL SWITCH, AND ADJUST THE VOLUME TO YOUR DESIRED LEVEL. I USE THE MAXIMUM LEVEL BECAUSE I LIKE TO BE HEARD!
5 UNITS ARE AVAILABLE.",https://syracuse.craigslist.org/for/d/auburn-super-loud-horn-and-voice/7825419285.html,"""super loud horn and voice amplifier"" -parts -repair"
2 Manual Speaker Selectors,$10,North Syracuse,2025-02-23T20:48:01-0500,"QR Code Link to This Post


2 Manual Speaker Selectors. $ 10. each",https://syracuse.craigslist.org/ele/d/syracuse-manual-speaker-selectors/7829271655.html,"""2 manual speaker selectors"" -parts -repair"
"Realistic 4"" HI-FI Speaker",$8,North Syracuse,2025-02-23T17:43:25-0500,"QR Code Link to This Post


Realistic Speaker model no. 40-1204, 4"" 3-4 Ohm.
Original new stock.",https://syracuse.craigslist.org/ele/d/syracuse-realistic-hi-fi-speaker/7829234246.html,"""realistic 4"" hi-fi speaker Code"" -parts -repair"
YAMAHA M-45 NATURAL SOUND STEREO POWER AMPLIFIER,$300,East Syracuse,2025-02-21T17:35:50-0500,"QR Code Link to This Post


Up for sale is a Yamaha M-45 Natural Sound Stereo Power Amplifier. This amplifier is in great condition and works and looks great! There is no remote for the amplifier. I have been using this amp with a Yamaha CX-2 Natural Sound Pre-Amplifier to drive a set of beautiful NHT 2.5i floor standing tower speakers (piano finish).  I do have the remote for the pre-amp. Everything is in terrific condition and sounds amazing together. This is a quality lot of home stereo equipment.  If you are interested in the lot, I am asking $1200 (firm). I have the original boxes for these large heavy speaker. This setup is truly for the audiophile. If you would like pictures of the other items (if you are considering buying this lot) I can send you some for sure.  Otherwise this sale is for the amp pictured only.",https://syracuse.craigslist.org/ele/d/east-syracuse-yamaha-45-natural-sound/7828709246.html,"""yamaha m-45 natural sound stereo power amplifier"" -parts -repair"
Acoustic A40 Amp Tweed,$140,Unknown,2025-02-18T19:39:55-0500,"QR Code Link to This Post


Acoustic A40 Amp Tweed
$140 or make offer

Barely left house ..
Does have a little tear in fabric in back but Amp is mint otherwise used twice at home 

https://acousticcontrolcorp.com/dp/a40-40w-acoustic-guitar-combo-amp/

Description
The A40 Acoustic Instrument Amp is a full-featured amplifier with 40 watts of power and a full-range coaxial speaker that provides pristine acoustic tone.

You can connect your acoustic-electric instruments or any microphone via two combo inputs with independent level controls. The built-in digital effects can be customized and stored and the DSP-based automatic feedback elimination circuit constantly scans for and eliminates feedback.

Bluetooth connectivity provides an ultra-easy playback interface for your mobile devices and the direct out lets you connect with any PA system. The monitor style cabinet offers exceptional live monitoring.

A40 40W Acoustic Instrument Amp
Specifications
Power

40 Watts

Speaker

8"" full-range coaxial speaker

Inputs

Dual inputs with combo XLR-1/4″ jacks

EQ

3-band EQ with sweepable mid-range

Digital Effects

Single digital FX processor

FX Loop

Yes

Bluetooth

Auxiliary Bluetooth connectivity for instant backing tracks

Cabinet design

Ported cabinet design

Dimensions

18.3"" H x 17.3"" W x 16.5"" D

Weight

28.7 lbs",https://syracuse.craigslist.org/msg/d/syracuse-acoustic-a40-amp-tweed/7827883861.html,"""acoustic a40 amp tweed"" -parts -repair"
